"Date","Age Group","Sex","Sinovac 1st dose","Sinovac 2nd dose","Sinovac 3rd dose","BioNTech 1st dose","BioNTech 2nd dose","BioNTech 3rd dose"
"2021-02-22","30-39","M","1","0","0","0","0","0"
"2021-02-22","40-49","F","1","0","0","0","0","0"
"2021-02-22","40-49","M","11","0","0","0","0","0"
"2021-02-22","50-59","F","2","0","0","0","0","0"
"2021-02-22","50-59","M","10","0","0","0","0","0"
"2021-02-22","60-69","F","6","0","0","0","0","0"
"2021-02-22","60-69","M","7","0","0","0","0","0"
"2021-02-22","70-79","F","1","0","0","0","0","0"
"2021-02-22","70-79","M","8","0","0","0","0","0"
"2021-02-23","0-19","M","1","0","0","0","0","0"
"2021-02-23","20-29","F","6","0","0","0","0","0"
"2021-02-23","20-29","M","8","0","0","0","0","0"
"2021-02-23","30-39","F","13","0","0","0","0","0"
"2021-02-23","30-39","M","39","0","0","0","0","0"
"2021-02-23","40-49","F","35","0","0","0","0","0"
"2021-02-23","40-49","M","75","0","0","0","0","0"
"2021-02-23","50-59","F","26","0","0","0","0","0"
"2021-02-23","50-59","M","93","0","0","0","0","0"
"2021-02-23","60-69","F","56","0","0","0","0","0"
"2021-02-23","60-69","M","118","0","0","0","0","0"
"2021-02-23","70-79","F","22","0","0","0","0","0"
"2021-02-23","70-79","M","27","0","0","0","0","0"
"2021-02-23","80 and above","F","7","0","0","0","0","0"
"2021-02-23","80 and above","M","6","0","0","0","0","0"
"2021-02-26","0-19","F","13","0","0","0","0","0"
"2021-02-26","0-19","M","9","0","0","0","0","0"
"2021-02-26","20-29","F","44","0","0","0","0","0"
"2021-02-26","20-29","M","47","0","0","0","0","0"
"2021-02-26","30-39","F","101","0","0","0","0","0"
"2021-02-26","30-39","M","149","0","0","0","0","0"
"2021-02-26","40-49","F","310","0","0","0","0","0"
"2021-02-26","40-49","M","415","0","0","0","0","0"
"2021-02-26","50-59","F","312","0","0","0","0","0"
"2021-02-26","50-59","M","551","0","0","0","0","0"
"2021-02-26","60-69","F","920","0","0","0","0","0"
"2021-02-26","60-69","M","1962","0","0","0","0","0"
"2021-02-26","70-79","F","375","0","0","0","0","0"
"2021-02-26","70-79","M","535","0","0","0","0","0"
"2021-02-26","80 and above","F","162","0","0","0","0","0"
"2021-02-26","80 and above","M","139","0","0","0","0","0"
"2021-02-27","0-19","F","18","0","0","0","0","0"
"2021-02-27","0-19","M","17","0","0","0","0","0"
"2021-02-27","20-29","F","65","0","0","0","0","0"
"2021-02-27","20-29","M","138","0","0","0","0","0"
"2021-02-27","30-39","F","168","0","0","0","0","0"
"2021-02-27","30-39","M","307","0","0","0","0","0"
"2021-02-27","40-49","F","460","1","0","0","0","0"
"2021-02-27","40-49","M","862","0","0","0","0","0"
"2021-02-27","50-59","F","403","0","0","0","0","0"
"2021-02-27","50-59","M","951","0","0","0","0","0"
"2021-02-27","60-69","F","762","0","0","0","0","0"
"2021-02-27","60-69","M","1481","0","0","0","0","0"
"2021-02-27","70-79","F","469","0","0","0","0","0"
"2021-02-27","70-79","M","576","0","0","0","0","0"
"2021-02-27","80 and above","F","209","0","0","0","0","0"
"2021-02-27","80 and above","M","153","0","0","0","0","0"
"2021-02-28","0-19","F","6","0","0","0","0","0"
"2021-02-28","0-19","M","13","0","0","0","0","0"
"2021-02-28","20-29","F","52","0","0","0","0","0"
"2021-02-28","20-29","M","122","0","0","0","0","0"
"2021-02-28","30-39","F","159","0","0","0","0","0"
"2021-02-28","30-39","M","338","0","0","0","0","0"
"2021-02-28","40-49","F","402","0","0","0","0","0"
"2021-02-28","40-49","M","927","0","0","0","0","0"
"2021-02-28","50-59","F","333","0","0","0","0","0"
"2021-02-28","50-59","M","931","0","0","0","0","0"
"2021-02-28","60-69","F","801","0","0","0","0","0"
"2021-02-28","60-69","M","1620","0","0","0","0","0"
"2021-02-28","70-79","F","455","0","0","0","0","0"
"2021-02-28","70-79","M","550","0","0","0","0","0"
"2021-02-28","80 and above","F","165","0","0","0","0","0"
"2021-02-28","80 and above","M","141","0","0","0","0","0"
"2021-03-01","0-19","F","6","0","0","0","0","0"
"2021-03-01","0-19","M","4","0","0","0","0","0"
"2021-03-01","20-29","F","32","0","0","0","0","0"
"2021-03-01","20-29","M","42","0","0","0","0","0"
"2021-03-01","30-39","F","94","0","0","0","0","0"
"2021-03-01","30-39","M","171","0","0","0","0","0"
"2021-03-01","40-49","F","319","0","0","0","0","0"
"2021-03-01","40-49","M","555","0","0","0","0","0"
"2021-03-01","50-59","F","302","0","0","0","0","0"
"2021-03-01","50-59","M","649","0","0","0","0","0"
"2021-03-01","60-69","F","969","0","0","0","0","0"
"2021-03-01","60-69","M","2078","0","0","0","0","0"
"2021-03-01","70-79","F","343","0","0","0","0","0"
"2021-03-01","70-79","M","570","0","0","0","0","0"
"2021-03-01","80 and above","F","137","0","0","0","0","0"
"2021-03-01","80 and above","M","137","0","0","0","0","0"
"2021-03-02","0-19","F","11","0","0","0","0","0"
"2021-03-02","0-19","M","9","0","0","0","0","0"
"2021-03-02","20-29","F","69","0","0","0","0","0"
"2021-03-02","20-29","M","56","0","0","0","0","0"
"2021-03-02","30-39","F","220","0","0","0","0","0"
"2021-03-02","30-39","M","204","0","0","0","0","0"
"2021-03-02","40-49","F","570","0","0","0","0","0"
"2021-03-02","40-49","M","675","0","0","0","0","0"
"2021-03-02","50-59","F","622","0","0","0","0","0"
"2021-03-02","50-59","M","895","0","0","0","0","0"
"2021-03-02","60-69","F","2548","0","0","0","0","0"
"2021-03-02","60-69","M","3660","0","0","0","0","0"
"2021-03-02","70-79","F","1096","0","0","0","0","0"
"2021-03-02","70-79","M","1599","0","0","0","0","0"
"2021-03-02","80 and above","F","402","0","0","0","0","0"
"2021-03-02","80 and above","M","435","0","0","0","0","0"
"2021-03-03","0-19","F","11","0","0","0","0","0"
"2021-03-03","0-19","M","11","0","0","0","0","0"
"2021-03-03","20-29","F","72","0","0","0","0","0"
"2021-03-03","20-29","M","97","0","0","0","0","0"
"2021-03-03","30-39","F","255","0","0","0","0","0"
"2021-03-03","30-39","M","249","0","0","0","0","0"
"2021-03-03","40-49","F","583","1","0","0","0","0"
"2021-03-03","40-49","M","692","1","0","0","0","0"
"2021-03-03","50-59","F","647","0","0","0","0","0"
"2021-03-03","50-59","M","899","0","0","0","0","0"
"2021-03-03","60-69","F","2110","0","0","0","0","0"
"2021-03-03","60-69","M","2911","0","0","0","0","0"
"2021-03-03","70-79","F","951","0","0","0","0","0"
"2021-03-03","70-79","M","1430","0","0","0","0","0"
"2021-03-03","80 and above","F","353","0","0","0","0","0"
"2021-03-03","80 and above","M","395","0","0","0","0","0"
"2021-03-04","0-19","F","12","0","0","0","0","0"
"2021-03-04","0-19","M","10","0","0","0","0","0"
"2021-03-04","20-29","F","66","0","0","0","0","0"
"2021-03-04","20-29","M","91","0","0","0","0","0"
"2021-03-04","30-39","F","254","0","0","0","0","0"
"2021-03-04","30-39","M","251","0","0","0","0","0"
"2021-03-04","40-49","F","604","0","0","0","0","0"
"2021-03-04","40-49","M","627","0","0","0","0","0"
"2021-03-04","50-59","F","607","0","0","0","0","0"
"2021-03-04","50-59","M","847","0","0","0","0","0"
"2021-03-04","60-69","F","1797","0","0","0","0","0"
"2021-03-04","60-69","M","2586","0","0","0","0","0"
"2021-03-04","70-79","F","843","0","0","0","0","0"
"2021-03-04","70-79","M","1209","0","0","0","0","0"
"2021-03-04","80 and above","F","263","0","0","0","0","0"
"2021-03-04","80 and above","M","322","0","0","0","0","0"
"2021-03-05","0-19","F","14","0","0","0","0","0"
"2021-03-05","0-19","M","13","0","0","0","0","0"
"2021-03-05","20-29","F","72","0","0","0","0","0"
"2021-03-05","20-29","M","77","0","0","0","0","0"
"2021-03-05","30-39","F","238","0","0","0","0","0"
"2021-03-05","30-39","M","259","0","0","0","0","0"
"2021-03-05","40-49","F","621","0","0","0","0","0"
"2021-03-05","40-49","M","623","0","0","0","0","0"
"2021-03-05","50-59","F","673","0","0","0","0","0"
"2021-03-05","50-59","M","815","0","0","0","0","0"
"2021-03-05","60-69","F","1776","0","0","0","0","0"
"2021-03-05","60-69","M","2410","0","0","0","0","0"
"2021-03-05","70-79","F","818","0","0","0","0","0"
"2021-03-05","70-79","M","1175","0","0","0","0","0"
"2021-03-05","80 and above","F","247","0","0","0","0","0"
"2021-03-05","80 and above","M","307","0","0","0","0","0"
"2021-03-06","0-19","F","13","0","0","0","0","0"
"2021-03-06","0-19","M","17","0","0","0","0","0"
"2021-03-06","20-29","F","90","0","0","5","0","0"
"2021-03-06","20-29","M","131","0","0","10","0","0"
"2021-03-06","30-39","F","296","0","0","15","0","0"
"2021-03-06","30-39","M","299","0","0","23","0","0"
"2021-03-06","40-49","F","792","0","0","52","0","0"
"2021-03-06","40-49","M","920","1","0","44","0","0"
"2021-03-06","50-59","F","651","0","0","73","0","0"
"2021-03-06","50-59","M","960","0","0","86","0","0"
"2021-03-06","60-69","F","1782","0","0","9","0","0"
"2021-03-06","60-69","M","2559","0","0","16","0","0"
"2021-03-06","70-79","F","949","0","0","1","0","0"
"2021-03-06","70-79","M","1221","0","0","1","0","0"
"2021-03-06","80 and above","F","308","0","0","1","0","0"
"2021-03-06","80 and above","M","331","0","0","0","0","0"
"2021-03-07","0-19","F","19","0","0","0","0","0"
"2021-03-07","0-19","M","11","0","0","0","0","0"
"2021-03-07","20-29","F","91","0","0","28","0","0"
"2021-03-07","20-29","M","130","0","0","72","0","0"
"2021-03-07","30-39","F","211","0","0","63","0","0"
"2021-03-07","30-39","M","312","0","0","117","0","0"
"2021-03-07","40-49","F","552","0","0","112","0","0"
"2021-03-07","40-49","M","826","1","0","142","0","0"
"2021-03-07","50-59","F","417","0","0","132","0","0"
"2021-03-07","50-59","M","838","0","0","143","0","0"
"2021-03-07","60-69","F","1089","0","0","26","0","0"
"2021-03-07","60-69","M","1785","0","0","33","0","0"
"2021-03-07","70-79","F","600","0","0","0","0","0"
"2021-03-07","70-79","M","863","0","0","3","0","0"
"2021-03-07","80 and above","F","173","0","0","0","0","0"
"2021-03-07","80 and above","M","203","0","0","0","0","0"
"2021-03-08","0-19","F","8","0","0","0","0","0"
"2021-03-08","0-19","M","13","0","0","0","0","0"
"2021-03-08","20-29","F","64","0","0","34","0","0"
"2021-03-08","20-29","M","108","0","0","90","0","0"
"2021-03-08","30-39","F","223","0","0","65","0","0"
"2021-03-08","30-39","M","296","0","0","172","0","0"
"2021-03-08","40-49","F","607","0","0","95","0","0"
"2021-03-08","40-49","M","697","0","0","172","0","0"
"2021-03-08","50-59","F","605","0","0","113","0","0"
"2021-03-08","50-59","M","855","0","0","135","0","0"
"2021-03-08","60-69","F","1588","0","0","20","0","0"
"2021-03-08","60-69","M","2679","0","0","21","0","0"
"2021-03-08","70-79","F","634","0","0","3","0","0"
"2021-03-08","70-79","M","1129","0","0","2","0","0"
"2021-03-08","80 and above","F","164","0","0","1","0","0"
"2021-03-08","80 and above","M","230","0","0","0","0","0"
"2021-03-09","0-19","F","7","0","0","0","0","0"
"2021-03-09","0-19","M","8","0","0","0","0","0"
