Power plants / Electric substations / Bulk infeed substations_StartOrEnd,business
Clinic and Hospital_StartOrEnd,hospital
Elderly homes_StartOrEnd,family
Slaughterhouses,other
Pumping station_StartOrEnd,errand
Recorder house_StartOrEnd,business
Post office_StartOrEnd,errand
Racecourse,leisure
Cinema/concert karaoke and other entertainment facilities (includindg nightclubs / bathhouses / massage establishments_StartOrEnd,leisure
Public transport stations / stops / piers,other
Public transport stations / stops / piers_StartOrEnd,errand
School/educational institution that oneself studied,education
Tutorial center_StartOrEnd,education
School_StartOrEnd,education
Open storage and Port back-up facilities_StartOrEnd,business
Construction site,business
Park/playground/sports ground/court/gym centre/swimming pool/beach_StartOrEnd,park
Shop / Restaurant,restaurants
School/educational institution that oneself studied_StartOrEnd,education
Driving / taking a ride_StartOrEnd,leisure
Kwai Tsing container terminals,business
