26151.0_3.0,11.0
28765.0_5.0,9.0
6549.0_2.0,63.0
6301.0_1.0,86.0
14384.0_3.0,41.0
6480.0_2.0,36.0
33320.0_1.0,79.0
11787.0_1.0,25.0
16998.0_5.0,18.0
22025.0_4.0,15.0
23275.0_1.0,34.0
4827.0_2.0,72.0
6022.0_1.0,48.0
8674.0_1.0,50.0
15417.0_1.0,40.0
29557.0_1.0,48.0
2392.0_1.0,58.0
16819.0_4.0,15.0
8915.0_3.0,44.0
16330.0_1.0,44.0
33847.0_2.0,52.0
5970.0_1.0,59.0
24956.0_4.0,16.0
5337.0_3.0,23.0
9184.0_2.0,19.0
15596.0_2.0,7.0
7692.0_1.0,60.0
17504.0_2.0,49.0
17088.0_3.0,30.0
11501.0_2.0,59.0
12941.0_3.0,4.0
26258.0_1.0,31.0
24811.0_8.0,21.0
7882.0_5.0,9.0
35042.0_1.0,47.0
34722.0_4.0,20.0
7462.0_2.0,33.0
29450.0_3.0,55.0
15837.0_4.0,14.0
1001.0_1.0,52.0
1180.0_2.0,62.0
14205.0_2.0,36.0
33096.0_3.0,4.0
24536.0_1.0,46.0
9005.0_1.0,50.0
15138.0_1.0,56.0
21832.0_1.0,64.0
12662.0_3.0,17.0
1528.0_2.0,53.0
27325.0_4.0,3.0
5109.0_1.0,41.0
7989.0_3.0,5.0
28575.0_1.0,58.0
1651.0_3.0,54.0
32394.0_1.0,45.0
11642.0_5.0,30.0
26902.0_2.0,46.0
12769.0_1.0,48.0
7741.0_2.0,52.0
5040.0_1.0,59.0
30913.0_3.0,36.0
35183.0_4.0,31.0
4038.0_5.0,40.0
12713.0_1.0,46.0
15310.0_3.0,25.0
20571.0_1.0,66.0
19226.0_2.0,54.0
32586.0_2.0,39.0
20868.0_3.0,14.0
28296.0_1.0,86.0
26623.0_2.0,37.0
30269.0_2.0,36.0
30021.0_1.0,53.0
32673.0_1.0,53.0
15031.0_3.0,47.0
9600.0_1.0,70.0
27133.0_3.0,40.0
102.0_2.0,48.0
23324.0_2.0,50.0
8499.0_4.0,12.0
19034.0_1.0,52.0
31423.0_4.0,25.0
11222.0_2.0,24.0
18982.0_1.0,65.0
20919.0_1.0,55.0
23516.0_3.0,23.0
10240.0_2.0,80.0
8079.0_1.0,48.0
10117.0_1.0,53.0
3845.0_2.0,53.0
9376.0_3.0,25.0
32300.0_3.0,7.0
34990.0_1.0,90.0
1948.0_5.0,3.0
31003.0_1.0,55.0
15683.0_1.0,60.0
17839.0_2.0,35.0
2671.0_1.0,74.0
13923.0_3.0,20.0
28995.0_4.0,13.0
6442.0_4.0,39.0
22291.0_4.0,21.0
3653.0_1.0,62.0
18280.0_3.0,44.0
25641.0_2.0,42.0
16857.0_2.0,56.0
18052.0_1.0,56.0
11979.0_2.0,34.0
32865.0_2.0,55.0
35339.0_3.0,30.0
20991.0_4.0,18.0
6779.0_1.0,27.0
29749.0_2.0,52.0
2825.0_4.0,2.0
10345.0_3.0,15.0
14192.0_2.0,24.0
6357.0_1.0,43.0
33512.0_2.0,31.0
33655.0_1.0,25.0
26486.0_3.0,25.0
17734.0_1.0,34.0
14471.0_2.0,50.0
8723.0_2.0,74.0
31146.0_1.0,32.0
28010.0_2.0,30.0
2441.0_2.0,82.0
3796.0_1.0,42.0
330.0_4.0,18.0
6636.0_1.0,45.0
22255.0_3.0,22.0
16100.0_2.0,25.0
21745.0_2.0,80.0
33617.0_3.0,15.0
22639.0_4.0,30.0
22398.0_2.0,58.0
25518.0_1.0,40.0
7884.0_2.0,32.0
23782.0_3.0,19.0
29606.0_2.0,60.0
12997.0_3.0,53.0
31108.0_3.0,41.0
24380.0_2.0,27.0
27698.0_2.0,50.0
4950.0_3.0,25.0
7511.0_3.0,4.0
30951.0_1.0,45.0
8866.0_2.0,47.0
29222.0_1.0,46.0
15609.0_2.0,72.0
30392.0_3.0,6.0
30164.0_1.0,55.0
17540.0_3.0,26.0
17312.0_1.0,68.0
7287.0_5.0,3.0
12905.0_2.0,40.0
21602.0_2.0,58.0
26710.0_1.0,50.0
4127.0_1.0,30.0
473.0_4.0,16.0
245.0_2.0,83.0
24306.0_2.0,48.0
7618.0_1.0,36.0
5375.0_1.0,42.0
32251.0_2.0,59.0
12892.0_2.0,61.0
3702.0_2.0,70.0
15453.0_2.0,56.0
15681.0_5.0,30.0
27468.0_3.0,22.0
28240.0_1.0,60.0
18716.0_1.0,50.0
34760.0_2.0,39.0
19369.0_1.0,26.0
12626.0_2.0,50.0
34916.0_1.0,35.0
24201.0_1.0,75.0
19492.0_2.0,46.0
10539.0_1.0,39.0
33288.0_4.0,31.0
30126.0_3.0,24.0
20620.0_2.0,34.0
3807.0_4.0,10.0
30499.0_1.0,56.0
21975.0_1.0,52.0
27363.0_2.0,34.0
13049.0_3.0,24.0
16435.0_3.0,59.0
6969.0_5.0,14.0
11749.0_3.0,29.0
6585.0_3.0,26.0
23130.0_5.0,2.0
3094.0_3.0,13.0
18014.0_3.0,5.0
23659.0_2.0,35.0
5002.0_3.0,5.0
29979.0_1.0,56.0
18387.0_1.0,43.0
16714.0_3.0,35.0
9971.0_3.0,21.0
25784.0_1.0,51.0
3478.0_4.0,77.0
6864.0_4.0,7.0
19821.0_2.0,44.0
22293.0_1.0,40.0
10383.0_1.0,56.0
25082.0_4.0,20.0
32407.0_1.0,38.0
13328.0_3.0,32.0
3809.0_1.0,71.0
6406.0_3.0,28.0
18801.0_3.0,65.0
33425.0_3.0,15.0
475.0_1.0,23.0
16893.0_3.0,24.0
24114.0_1.0,60.0
35185.0_1.0,40.0
10432.0_2.0,8.0
33704.0_3.0,15.0
22901.0_1.0,39.0
33181.0_5.0,33.0
8531.0_2.0,60.0
10959.0_3.0,27.0
23132.0_2.0,52.0
13731.0_3.0,29.0
4498.0_3.0,22.0
21830.0_5.0,10.0
31338.0_1.0,65.0
28202.0_2.0,80.0
14768.0_4.0,19.0
9041.0_3.0,39.0
21235.0_4.0,21.0
7846.0_3.0,70.0
9003.0_4.0,18.0
14241.0_3.0,1.0
17647.0_1.0,47.0
15453.0_3.0,19.0
2776.0_3.0,22.0
33883.0_3.0,8.0
18790.0_1.0,58.0
7095.0_4.0,32.0
11644.0_1.0,49.0
22622.0_1.0,62.0
12856.0_1.0,42.0
21410.0_1.0,56.0
2318.0_2.0,70.0
29593.0_2.0,34.0
31528.0_5.0,40.0
17926.0_1.0,35.0
23590.0_2.0,65.0
33288.0_3.0,34.0
26294.0_2.0,56.0
4391.0_4.0,5.0
5232.0_2.0,35.0
13087.0_1.0,62.0
15223.0_4.0,46.0
18908.0_2.0,49.0
25189.0_1.0,81.0
4914.0_2.0,67.0
12997.0_4.0,27.0
31108.0_2.0,74.0
23429.0_3.0,3.0
15788.0_2.0,57.0
1336.0_1.0,35.0
1564.0_4.0,48.0
4722.0_1.0,83.0
10204.0_1.0,35.0
30077.0_2.0,60.0
16191.0_5.0,11.0
17175.0_2.0,41.0
19418.0_2.0,36.0
35147.0_2.0,41.0
1144.0_1.0,30.0
23708.0_3.0,43.0
22027.0_1.0,62.0
2074.0_5.0,8.0
26710.0_2.0,49.0
30356.0_2.0,36.0
26066.0_1.0,75.0
24306.0_3.0,17.0
28622.0_5.0,35.0
11414.0_3.0,5.0
14489.0_4.0,15.0
11606.0_4.0,40.0
8810.0_2.0,50.0
25833.0_2.0,30.0
23697.0_1.0,57.0
19139.0_2.0,52.0
25605.0_1.0,54.0
26305.0_6.0,28.0
32481.0_1.0,47.0
30721.0_3.0,45.0
33655.0_2.0,25.0
13174.0_1.0,55.0
14348.0_2.0,43.0
20955.0_3.0,45.0
8951.0_4.0,17.0
22219.0_1.0,62.0
28767.0_1.0,28.0
19599.0_1.0,39.0
35375.0_5.0,2.0
21709.0_1.0,60.0
22255.0_2.0,57.0
28488.0_1.0,66.0
10153.0_2.0,68.0
23552.0_5.0,5.0
32778.0_2.0,68.0
16473.0_1.0,90.0
19262.0_4.0,27.0
5181.0_3.0,16.0
20763.0_2.0,49.0
2968.0_3.0,19.0
28537.0_2.0,52.0
17839.0_3.0,15.0
6672.0_3.0,34.0
11557.0_3.0,14.0
26028.0_2.0,70.0
29680.0_2.0,38.0
23083.0_1.0,41.0
27171.0_2.0,90.0
7569.0_1.0,63.0
25592.0_1.0,58.0
209.0_1.0,50.0
16627.0_3.0,85.0
35339.0_4.0,25.0
19456.0_1.0,35.0
35377.0_1.0,40.0
31461.0_3.0,16.0
23362.0_1.0,55.0
25976.0_2.0,82.0
5529.0_3.0,16.0
7848.0_1.0,51.0
11979.0_1.0,36.0
22150.0_1.0,31.0
24728.0_1.0,60.0
1651.0_2.0,78.0
2863.0_2.0,36.0
28432.0_1.0,30.0
12818.0_2.0,79.0
14013.0_2.0,13.0
560.0_4.0,26.0
10309.0_2.0,80.0
24621.0_4.0,22.0
34724.0_1.0,25.0
667.0_1.0,61.0
6214.0_1.0,38.0
18803.0_1.0,71.0
7426.0_1.0,44.0
24449.0_1.0,30.0
33970.0_3.0,12.0
281.0_4.0,4.0
19684.0_2.0,75.0
1372.0_2.0,50.0
15645.0_4.0,26.0
35004.0_2.0,48.0
2584.0_2.0,60.0
15978.0_6.0,25.0
34829.0_2.0,35.0
388.0_1.0,39.0
22814.0_2.0,52.0
11222.0_1.0,48.0
12434.0_1.0,61.0
28309.0_1.0,73.0
14011.0_4.0,8.0
437.0_2.0,66.0
15261.0_1.0,34.0
10470.0_1.0,60.0
11785.0_4.0,18.0
17732.0_4.0,27.0
8953.0_2.0,49.0
11501.0_1.0,59.0
12941.0_4.0,41.0
3510.0_1.0,28.0
20812.0_3.0,13.0
19789.0_5.0,5.0
4402.0_8.0,1.0
5183.0_1.0,34.0
23695.0_3.0,61.0
9005.0_2.0,11.0
14943.0_1.0,52.0
34250.0_4.0,20.0
12662.0_4.0,11.0
6549.0_1.0,57.0
22485.0_1.0,50.0
10202.0_3.0,13.0
28660.0_4.0,28.0
35098.0_1.0,68.0
332.0_1.0,46.0
6404.0_5.0,13.0
4268.0_4.0,16.0
13961.0_2.0,93.0
3988.0_1.0,74.0
27783.0_4.0,26.0
1479.0_1.0,43.0
32443.0_2.0,36.0
32671.0_5.0,10.0
9935.0_1.0,65.0
13136.0_2.0,50.0
13364.0_5.0,37.0
25274.0_4.0,28.0
32215.0_1.0,74.0
16522.0_2.0,50.0
10575.0_2.0,38.0
16895.0_1.0,51.0
28153.0_1.0,34.0
28381.0_4.0,21.0
4865.0_1.0,74.0
8128.0_2.0,61.0
10191.0_1.0,61.0
16906.0_3.0,16.0
20533.0_3.0,10.0
29975.0_7.0,34.0
23467.0_2.0,54.0
3058.0_2.0,45.0
11836.0_3.0,19.0
25871.0_1.0,35.0
6393.0_3.0,12.0
19177.0_1.0,33.0
5337.0_2.0,60.0
34532.0_1.0,75.0
9184.0_1.0,47.0
20919.0_2.0,15.0
24766.0_1.0,77.0
332.0_2.0,38.0
18944.0_2.0,53.0
3845.0_3.0,23.0
7513.0_1.0,53.0
15596.0_3.0,5.0
7692.0_2.0,60.0
17504.0_3.0,26.0
17088.0_2.0,59.0
1479.0_2.0,43.0
12941.0_2.0,38.0
10575.0_1.0,45.0
4827.0_1.0,76.0
1231.0_1.0,55.0
12999.0_1.0,35.0
14907.0_1.0,83.0
35042.0_2.0,52.0
24487.0_1.0,70.0
7234.0_1.0,37.0
22063.0_1.0,72.0
16857.0_1.0,70.0
30689.0_4.0,38.0
16629.0_1.0,28.0
28345.0_1.0,72.0
23695.0_5.0,25.0
12662.0_2.0,43.0
32635.0_2.0,32.0
6549.0_3.0,27.0
21378.0_3.0,29.0
26399.0_3.0,36.0
26902.0_1.0,20.0
17732.0_3.0,21.0
30913.0_2.0,50.0
15310.0_4.0,22.0
35270.0_2.0,78.0
33510.0_4.0,11.0
15820.0_1.0,48.0
2213.0_1.0,48.0
26623.0_1.0,30.0
30269.0_1.0,37.0
15417.0_2.0,30.0
15031.0_4.0,6.0
11450.0_3.0,32.0
20620.0_1.0,69.0
8915.0_4.0,18.0
4163.0_1.0,40.0
23516.0_2.0,53.0
6587.0_1.0,55.0
10240.0_3.0,70.0
10765.0_5.0,5.0
2405.0_2.0,33.0
9376.0_4.0,20.0
14156.0_2.0,48.0
3092.0_5.0,40.0
8866.0_3.0,21.0
32300.0_4.0,5.0
4076.0_2.0,25.0
33740.0_3.0,65.0
17839.0_1.0,50.0
24811.0_7.0,21.0
29450.0_2.0,59.0
6442.0_3.0,41.0
25413.0_1.0,30.0
21602.0_1.0,59.0
30392.0_4.0,5.0
33096.0_2.0,35.0
28115.0_2.0,65.0
32865.0_1.0,45.0
20991.0_5.0,32.0
473.0_5.0,10.0
2968.0_2.0,43.0
1528.0_3.0,28.0
7989.0_4.0,3.0
19034.0_2.0,79.0
1651.0_4.0,47.0
32394.0_2.0,39.0
10345.0_2.0,18.0
28383.0_1.0,34.0
4038.0_6.0,49.0
17734.0_2.0,65.0
8723.0_1.0,82.0
